Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.6037107857691648,0.5466061154117636,0.7782449074501013,-0.07793872730699229,False
region_1,-1.362332523224077,0.1743700917536614,0.5259527713124535,-0.17587637248145263,False
region_2,-2.105419269348811,0.03629429526002662,0.3085015097102263,-0.27180845889907107,False
region_3,-0.8793677547107435,0.3800815187396114,0.7782449074501013,-0.11352588897288395,False
region_4,-2.360757807689547,0.01903813803050942,0.2589186772149281,-0.3047725224536915,False
region_5,-0.8424229748042276,0.400389945814432,0.7782449074501013,-0.10875633839597612,False
region_6,-0.4779877690132466,0.6330939846177894,0.816137759658136,-0.06170795563597137,False
region_7,-1.392223052269091,0.16514352177943978,0.5259527713124535,-0.17973522318814159,False
region_8,1.1843079016746612,0.23746274356431002,0.6210564062451186,0.1528934926655938,False
region_9,-2.19477578903284,0.02913824159710237,0.30818932032559426,-0.28334433598611436,False
region_10,0.3607217429351764,0.7186247605088357,0.8549671948875461,0.04656897676676171,False
region_11,0.1496048513955369,0.8812020228735161,0.9079051144757438,0.019313903265558322,False
region_12,-0.18569488569696502,0.8528408843538938,0.9061434396260122,-0.02397310665934118,False
region_13,-0.6976749325126876,0.48605584525878254,0.7782449074501013,-0.09006944648960076,False
region_14,0.5917817180812113,0.5545537949837549,0.7782449074501013,0.07639869129061813,False
region_15,-0.20311071729004576,0.8392205892185742,0.905825397886715,-0.026221480850019668,False
region_16,0.8210309079312197,0.4124434441310193,0.7782449074501013,0.10599463443797227,False
region_17,-1.3909522168580486,0.16552812260691324,0.5259527713124535,-0.17957115904205026,False
region_18,-0.35746739674341205,0.7210560755479518,0.8549671948875461,-0.04614884247997846,False
region_19,-0.2581474121445063,0.7965143720762304,0.8780554595882228,-0.03332668760340717,False
region_20,-0.07269006805241567,0.9421132942203185,0.956174686671368,-0.009384247433389654,False
region_21,-0.6891125494779279,0.4914181095772201,0.7782449074501013,-0.08896404759301829,False
region_22,-0.8406128638161688,0.40140153961509817,0.7782449074501013,-0.10852265407225818,False
region_23,-0.8871889202110536,0.37586538029918126,0.7782449074501013,-0.11453559709723837,False
region_24,-0.3448690059981431,0.7304948835002332,0.8549671948875461,-0.0445223972284638,False
region_25,-2.7306960339212782,0.00678899150123887,0.1810500062482703,-0.35253134209772513,False
region_26,-1.516757486655639,0.1306439612896208,0.5259527713124535,-0.19581254953509028,False
region_27,-0.6815499724347626,0.49618069282488886,0.7782449074501013,-0.08798772309493198,False
region_28,0.6384391152346552,0.5237966220949509,0.7782449074501013,0.08242213536237392,False
region_29,-2.674978179132731,0.007987500275658985,0.1810500062482703,-0.34533819797497695,False
region_30,0.6470276833939205,0.5182323744658002,0.7782449074501013,0.08353091474399398,False
region_31,-1.5916993813668405,0.112768514183928,0.5259527713124535,-0.20548750654008072,False
region_32,0.43898397440404274,0.6610680952514078,0.8324561199462173,0.056672587403960015,False
region_33,0.6383599407664915,0.5238480596400317,0.7782449074501013,0.08241191398248583,False
region_34,0.2528766676930741,0.8005799778598502,0.8780554595882228,0.03264623742065677,False
region_35,-0.6709251366370026,0.5029133901531613,0.7782449074501013,-0.08661606269156821,False
region_36,-0.15723611635583612,0.875190964443493,0.9079051144757438,-0.020299095335616163,False
region_37,-2.8759080403586825,0.004390896535891552,0.1810500062482703,-0.3712781315177728,False
region_38,-0.010546947378358158,0.9915936713159563,0.9915936713159563,-0.0013616050516569041,False
region_39,-2.1604841329350144,0.03172537120998764,0.30818932032559426,-0.27891730222008937,False
