Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-2.34191846852553,0.01998669378358369,0.15427442977832526,-0.29873379934304833,False
region_1,-2.304297795991348,0.022043129806487004,0.15427442977832526,-0.2939349275671864,False
region_2,-1.2300231672050197,0.2198682103462277,0.5392006069974915,-0.1569010616541536,False
region_3,0.24841089167203584,0.804024600022258,0.9269998318356554,0.03168715327400079,False
region_4,-3.516238706195941,0.0005213847634189425,0.017727081956244044,-0.4485294267141337,True
region_5,-1.0189034489300905,0.3092538907473729,0.6783633732523019,-0.12997074943187906,False
region_6,-0.6402551194951867,0.5226050726417828,0.7376059016329046,-0.0816705820318567,False
region_7,0.712541948727707,0.4768072819957788,0.7205087816825102,0.09089144920947831,False
region_8,0.7689016370216952,0.44269228320894993,0.7205087816825102,0.09808065926957632,False
region_9,-0.041972423786179554,0.9665548664708047,0.9858044862880988,-0.005353978711810678,False
region_10,-1.579118647453641,0.11559904259201133,0.3973641293869325,-0.20143148427549085,False
region_11,-0.9795678367446079,0.3282657694836242,0.6975647601527014,-0.12495312092107427,False
region_12,1.3621358166650792,0.17440603307012653,0.49415042703202516,0.17375327672692165,False
region_13,1.9428711360553064,0.053177339058905974,0.25828993257182903,0.24783154661791723,False
region_14,-0.01781054719377893,0.9858044862880988,0.9858044862880988,-0.0022719033574751645,False
region_15,0.41374360291807305,0.6794238351232923,0.8360495770781712,0.0527769006968955,False
region_16,0.8377047953163913,0.40301297004794956,0.7026892811092454,0.10685715134665379,False
region_17,0.2304414870000998,0.8179410280902841,0.9269998318356554,0.029394986146184465,False
region_18,0.027157943951473692,0.9783558671154036,0.9858044862880988,0.0034642520173117862,False
region_19,0.8767783112270988,0.38146594816025214,0.7010725533755986,0.11184134700443249,False
region_20,-0.18120049078450634,0.8563600211892375,0.9546308432929205,-0.023113832433697506,False
region_21,0.38468264464976243,0.7008062631390553,0.8360495770781712,0.04906990124635184,False
region_22,-1.8751472267627856,0.061961973100475555,0.28089427805548917,-0.23919272293501745,False
region_23,0.6371066025478176,0.5246502831581078,0.7376059016329046,0.08126895898535683,False
